2	22.5	35.0	20.4,120.3,114.9,297.6,298.3,190.0,198.7,83.5
2	25.0	35.0	134.5,113.8,306.0,39.1,122.9,140.8,88.1,190.2
2	17.9	35.0	263.5,308.3,283.1,98.7,271.1,82.8,368.4,324.4
2	21.8	35.0	142.0,348.9,10.3,153.7,69.1,190.3,144.8,327.0
2	22.4	35.0	63.8,294.4,306.8,382.5,388.5,337.1,164.5,172.3
2	21.4	35.0	386.5,383.5,284.6,363.6,314.4,314.8,95.7,131.5
2	19.9	35.0	163.1,289.2,267.5,65.9,153.8,316.7,288.5,379.3
2	23.4	35.0	203.3,225.2,2.1,315.2,95.9,165.4,119.7,255.8
2	24.6	35.0	119.8,322.9,225.4,128.0,12.4,328.5,65.2,154.1
2	18.7	35.0	328.7,278.0,371.5,317.3,238.1,49.8,337.7,377.4
2	31.2	35.0	18.8,44.0,47.6,.6,9.6,39.7,11.5,11.7
2	30.3	35.0	11.8,26.5,26.9,39.1,30.7,37.4,27.8,14.2
2	31.0	35.0	15.3,26.5,49.5,46.7,39.6,10.8,8.3,3.1
2	29.9	35.0	16.5,17.1,28.6,3.9,48.4,16.5,33.4,5.5
2	29.8	35.0	18.6,45.5,30.2,17.0,24.2,25.3,34.8,46.9
2	30.1	35.0	11.3,34.2,2.7,21.2,23.6,2.5,30.5,39.7
2	31.2	35.0	15.5,7.3,26.8,36.3,23.9,6.9,18.2,26.8
2	32.0	35.0	19.1,25.9,32.2,20.4,7.0,10.3,11.1,3.2
2	30.0	35.0	5.6,9.6,37.4,38.1,29.4,4.7,10.0,46.6
2	29.2	35.0	6.6,14.3,37.2,22.8,6.5,38.7,43.3,25.9
2	23.0	35.0	184.4,158.3,189.3,185.7,157.4,162.4,183.1,172.5
2	22.4	35.0	173.5,156.7,180.8,190.9,192.7,168.3,199.5,184.3
2	24.0	35.0	172.4,178.9,152.6,193.7,185.4,180.7,153.0,155.8
2	24.1	35.0	190.3,187.7,153.0,156.1,191.3,178.1,151.5,165.7
2	22.5	35.0	160.8,199.4,153.5,186.5,186.1,181.6,196.2,175.7
2	22.9	35.0	183.4,179.9,170.1,170.9,151.4,199.1,184.1,191.5
2	24.1	35.0	153.2,199.3,159.8,195.7,181.6,193.4,151.2,157.2
2	22.6	35.0	181.5,169.7,190.3,191.3,193.9,177.1,194.8,157.9
2	22.4	35.0	196.4,178.7,168.3,156.5,150.4,190.7,199.7,178.1
